"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1800000;"PODKARPACKIE";"ogółem";"2018";536,96;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2019";496,76;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2020";572,77;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2021";508,71;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2022";669,81;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2023";1050,93;"zł";"";
2000000;"PODLASKIE";"ogółem";"2002";121;"zł";"";
2000000;"PODLASKIE";"ogółem";"2003";119;"zł";"";
2000000;"PODLASKIE";"ogółem";"2004";142;"zł";"";
2000000;"PODLASKIE";"ogółem";"2005";152;"zł";"";
2000000;"PODLASKIE";"ogółem";"2006";240,71;"zł";"";
2000000;"PODLASKIE";"ogółem";"2007";255,29;"zł";"";
2000000;"PODLASKIE";"ogółem";"2008";280,65;"zł";"";
2000000;"PODLASKIE";"ogółem";"2009";517,64;"zł";"";
2000000;"PODLASKIE";"ogółem";"2010";341,84;"zł";"";
2000000;"PODLASKIE";"ogółem";"2011";431,14;"zł";"";
2000000;"PODLASKIE";"ogółem";"2012";410,22;"zł";"";
2000000;"PODLASKIE";"ogółem";"2013";468,86;"zł";"";
2000000;"PODLASKIE";"ogółem";"2014";623,42;"zł";"";
2000000;"PODLASKIE";"ogółem";"2015";781,93;"zł";"";
2000000;"PODLASKIE";"ogółem";"2016";315,00;"zł";"";
2000000;"PODLASKIE";"ogółem";"2017";439,93;"zł";"";
2000000;"PODLASKIE";"ogółem";"2018";672,10;"zł";"";
2000000;"PODLASKIE";"ogółem";"2019";836,57;"zł";"";
2000000;"PODLASKIE";"ogółem";"2020";742,36;"zł";"";
2000000;"PODLASKIE";"ogółem";"2021";603,77;"zł";"";
2000000;"PODLASKIE";"ogółem";"2022";620,51;"zł";"";
2000000;"PODLASKIE";"ogółem";"2023";825,51;"zł";"";
2200000;"POMORSKIE";"ogółem";"2002";115;"zł";"";
2200000;"POMORSKIE";"ogółem";"2003";130;"zł";"";
2200000;"POMORSKIE";"ogółem";"2004";144;"zł";"";
2200000;"POMORSKIE";"ogółem";"2005";201;"zł";"";
2200000;"POMORSKIE";"ogółem";"2006";253,64;"zł";"";
2200000;"POMORSKIE";"ogółem";"2007";270,90;"zł";"";
2200000;"POMORSKIE";"ogółem";"2008";321,54;"zł";"";
2200000;"POMORSKIE";"ogółem";"2009";573,79;"zł";"";
2200000;"POMORSKIE";"ogółem";"2010";384,03;"zł";"";
2200000;"POMORSKIE";"ogółem";"2011";418,60;"zł";"";
2200000;"POMORSKIE";"ogółem";"2012";402,25;"zł";"";
2200000;"POMORSKIE";"ogółem";"2013";362,34;"zł";"";
2200000;"POMORSKIE";"ogółem";"2014";356,17;"zł";"";
2200000;"POMORSKIE";"ogółem";"2015";348,06;"zł";"";
2200000;"POMORSKIE";"ogółem";"2016";305,50;"zł";"";
2200000;"POMORSKIE";"ogółem";"2017";359,96;"zł";"";
2200000;"POMORSKIE";"ogółem";"2018";448,97;"zł";"";
2200000;"POMORSKIE";"ogółem";"2019";563,64;"zł";"";
2200000;"POMORSKIE";"ogółem";"2020";450,63;"zł";"";
2200000;"POMORSKIE";"ogółem";"2021";491,36;"zł";"";
2200000;"POMORSKIE";"ogółem";"2022";574,55;"zł";"";
2200000;"POMORSKIE";"ogółem";"2023";977,82;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2002";128;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2003";132;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2004";168;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2005";198;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2006";222,36;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2007";212,92;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2008";271,72;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2009";372,47;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2010";304,05;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2011";314,54;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2012";317,99;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2013";370,25;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2014";385,83;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2015";391,38;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2016";264,38;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2017";269,54;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2018";320,06;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2019";330,14;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2020";436,58;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2021";460,57;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2022";471,43;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2023";617,63;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2002";125;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2003";133;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2004";139;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2005";133;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2006";199,80;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2007";244,63;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2008";293,71;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2009";593,40;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2010";436,57;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2011";413,72;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2012";539,64;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2013";578,09;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2014";492,13;"zł";"";
